1948年5月28日,台北新店溪橋火車大火,64死76傷,25.026936,121.486829
1995年2月15日,台中衛爾康餐廳大火,64死11傷,24.148973,120.672183
1979年7月13日,台北撫遠街樓房爆炸大火,33死20傷,25.066177,121.566691
1993年1月19日,台北論情西餐廳大火,33死20傷,25.061174,121.533258
1966年1月19日,台北新生大樓大火,32死24傷,25.042195,121.508768
2014年7月31日,高雄前鎮區地下丙烯氣爆大火,30死309傷,22.612684,120.319725
1990年1月27日,桃園正發綜合大樓大火,28死,24.996608,121.307171
1985年4月1日,台南帝王飯店縱火案,26死10傷,22.992417,120.195002
1992年5月15日,台北健康幼稚園遊覽車大火,23死8傷,24.902760,121.191292
1989年5月16日,高雄龍山大廈縱火案,23死
1993年5月12日,台北卡爾登理容院縱火案,22死7傷,25.055550,121.527830
1992年5月11日,台北自強保齡球館大火,20死,25.005447,121.504537
1984年5月28日,台北時代大飯店大火,19死49傷,25.060331,121.527232
1991年1月6日,台北天龍三溫暖大火,18死7傷,25.052370,121.514120
1996年2月17日,台中夏威夷三溫暖大火,17死,24.157941,120.691120
1986年8月11日,高雄大仁宮廢船爆炸大火,16死107傷,22.552242,120.332746
1990年6月16日,高雄錢櫃KTV大火,16死2傷
1992年11月21日,台北神話世界KTV縱火案,16死2傷,25.064007,121.519782
1990年6月16日,高雄六層高商住大廈縱火案,16死
1992年10月20日,高雄花旗飯店大火,15死16傷,22.637514,120.300031
1990年4月3日,桃園五福商業大樓縱火案,15死10傷,25.005832,121.294676
2003年8月31日,新北大囍社區大火,13死71傷,25.094643,121.472625
2012年10月23日,台南新營醫院大火,13死48傷,23.309229,120.313539
1990年8月31日,桃園電子廠爆炸大火,13死40傷
1992年9月23日,新竹縣今夜卡拉OK大火,13死3傷
1994年10月25日,台北巨星鑽KTV大火,13死1傷,25.061599,121.532965
1983年2月1日,台北開封街木樓大火,12死24傷,25.046299,121.508051
1984年2月29日,馬公馬公輪爆炸大火,11死12傷,23.565360,119.575820
1995年10月31日,嘉義嘉年華大樓大火,11死8傷,23.478922,120.441256
1989年6月22日,花蓮花旗飯店大火,11死8傷,花蓮市中正路405號
1956年6月6日,台中信東塑膠廠大火,11死3傷
1961年4月5日,高雄光隆輪爆炸大火,10死43傷
1993年4月10日,台北縣黑珍珠卡拉OK大火,10死7傷
1990年4月12日,台中縣鋐光公司爆炸事故,40死29傷,24.347241,120.654445
2014年7月31日,高雄前鎮區地下丙烯氣爆大火,30死309傷,22.615522,120.324985
1953年4月6日,台北南勢角聯勤總部爆炸案,25死170傷
1997年9月13日,高雄前鎮區鎮興橋瓦斯氣爆大火,11死17傷,22.589985,120.314061
1959年,八七水災,1075死942傷
2009年,八八水災,699死
1963年,強烈颱風葛樂禮,363死450傷
1961年,強烈颱風波密拉,293死1847傷
2001年,中度颱風桃芝,214死
1960年,強烈颱風雪莉,210死430傷
2000年,中度颱風象神,172死136傷
1952年,強烈颱風貝絲,153死644傷
1970年,輕度颱風芙安,143死55傷
1987年,中度颱風傑拉爾,127死
1962年,強烈颱風歐珀,107死1400傷
1969年,強烈颱風愛爾西,105死371傷
1969年,輕度颱風芙勞西,105死41傷
2001年,中度颱風納莉,104死208傷
1986年,中度颱風韋恩,87死422傷
1967年,強烈颱風解拉,82死203傷
1951年,中度颱風白蒂,81死79傷
1996年,強烈颱風賀伯,73死463傷
1951年,台灣中南部水災,73死
1977年,中度颱風賽洛瑪,72死306傷
1973年,強烈颱風娜拉,68死85傷
1965年,強烈颱風黛娜,62死219傷
1957年,強烈颱風佛琴尼,62死40傷
1968年,強烈颱風艾琳,60死27傷
1956年,中度颱風黛納,59死276傷
1974年,輕度颱風范迪,54死40傷
1971年,強烈颱風娜定,52死118傷
1981年,輕度颱風梅里,48死9傷
1953年,強烈颱風妮娜,48死6傷
1997年,強烈颱風溫妮,45死84傷
2004年,中度颱風敏督利,45死
1990年,中度颱風奧菲莉亞,44死
1958年,強烈颱風溫妮,43死78傷
1987年,強烈颱風林茵,42死
1971年,強烈颱風貝絲,39死208傷
2010年,強烈颱風梅姬,38死96傷
1989年,中度颱風莎拉,37死
1974年,輕度颱風芸蒂,36死
1953年,強烈颱風克蒂,35死186傷
2004年,中度颱風艾利,33死
1965年,強烈颱風瑪麗,31死493傷
1949年,輕度颱風伊瑪,31死3傷
1994年,中度颱風添姆,30死67傷
1959年,中度颱風畢莉,30死50傷
1990年,強烈颱風揚希,30死15傷
