1983/4/18 , "April 1983 U.S. Embassy bombingBeirutLebanonIslamic Jihad Organization1" , "" , 63 , 120 , 33.90138888888889 , 35.485 ,"", Lebanon/United States
1983/12/12 , "1983 Kuwait bombings2" , "" , ? , ? , 0 , 0 ,"", Kuwait
1989/7/7 , "Tel Aviv Jerusalem bus 405 suicide attackKiryat Yearim3" , "" , 16 , ? , 31.800555555555555 , 35.09444444444445 ,"", Israel
1993/2/26 , "World Trade Center bombing4" , "" , 6 , ? , 40.71138888888889 , -74.01194444444444 ,"", United States
1993/3/12 , "Serial blasts in Mumbai" , "" , ? , ? , 0 , 0 ,"", India
1994/12/24 , "Air France Flight 8969AlgiersArmed Islamic Group of Algeria5" , "" , 7 , ? , 43.439722222222215 , 5.215 ,"", Algeria
1996/6/25 , "Khobar Towers bombing6" , "" , 20 , 372 , 26.260833333333334 , 50.20611111111111 ,"", Saudi Arabia/United States
1997/11/17 , "Luxor massacre7" , "" , 62 , 26 , 25.738333333333333 , 32.60638888888889 ,"", Egypt
1998/2/14 , "12 bomb attacks in 11 places, in the city of Coimbatore" , "" , 58 , 200 , 0 , 0 ,"", India
1998/8/7 , "1998 United States embassy bombings8" , "" , 224 , 4000 , undefined , undefined ,"", Tanzania/Kenya/United States
2000/10/12 , "USS Cole9" , "" , 17 , 39 , 0 , 0 ,"", Yemen/United States
2000/12/22 , "Attack on Red Fort" , "" , ? , ? , 0 , 0 ,"", India
2000/12/24 , "Christmas Eve 2000 Indonesia bombings10" , "" , 18 , ? , 0 , 0 ,"", Indonesia
2001/9/11 , "September 11, 2001hijackedal-QaedaWorld Trade CenterThe Pentagon11" , "" , 3000 , ? , 40.71277777777778 , -74.01333333333334 ,"", United States
2001/10/1 , "Attack on the Jammu and Kashmir legislative assembly" , "" , ? , ? , 0 , 0 ,"", India
2001/12/13 , "Suicide attack on Indian parliament12" , "" , 7 , 12 , 0 , 0 ,"", India
2002/3/30 , "Attack on the Raghunath temple" , "" , ? , ? , 0 , 0 ,"", India
2002/10/12 , "2002 Bali bombingsKutaIndonesianBali13" , "" , ? , ? , -8.717222222222222 , 115.17416666666666 ,"", Indonesia
2001/11/24 , "Attack on the Raghunath temple" , "" , ? , ? , 0 , 0 ,"", India
2002/1/22 , "Attack on an American cultural centre in Kolkata" , "" , ? , ? , 0 , 0 ,"", India
2002/5/14 , "attacked a tourist bus" , "" , ? , ? , 0 , 0 ,"", India
2002/7/13 , "Militants kill 29 Hindu labourers in Qasim Nagar" , "" , ? , ? , 0 , 0 ,"", India
2002/9/24 , "Akshardham Temple attack" , "" , ? , ? , 23.229166666666664 , 72.67416666666666 ,"", India
2003/8/25 , "Twin car bombings killed" , "" , 2003 , 54 , 0 , 0 ,"", India
