date,event name,short name,killed,wounded,latitude,longitude,comment,other source,country,note
4/18/1983,April 1983 U.S. Embassy bombingBeirutLebanonIslamic Jihad Organization,US Embassy Bombing,63,120,33.90138889,35.485,,,Lebanon/United States,this doc is released under CC-BY
12/12/1983,1983 Kuwait bombings,Kuwait Bombing,6,,29.2512,47.972969,,,Kuwait,"as a contributor
please sign your name below"
7/7/1989,Tel Aviv Jerusalem bus 405 suicide attackKiryat Yearim,Jerusalem Bus Suicide Attack,16,,31.80055556,35.09444444,,,Israel,
2/26/1993,World Trade Center bombing,WTC Bombing,6,,40.71138889,-74.01194444,,,United States,Kirby
3/12/1993,Serial blasts in Mumbai,Mumbai Serial Blasts,257,713,18.929681,72.833589,,,India,
12/24/1994,Air France Flight 8969AlgiersArmed Islamic Group of Algeria,Air France Flight 8969,7,,43.43972222,5.215,,,Algeria,
6/25/1996,Khobar Towers bombing,Khobar Towers Bombing,20,372,26.26083333,50.20611111,,,Saudi Arabia/United States,
11/17/1997,Luxor massacre,Luxor Massacre,62,26,25.73833333,32.60638889,,,Egypt,
2/14/1998,"12 bomb attacks in 11 places, in the city of Coimbatore",Coimbatore Bombings,58,200,10.993485,76.958955,,,India,
8/7/1998,1998 United States embassy bombings,US Embassy Bombing,224,4000,-1.283333,36.816667,,,Tanzania/Kenya/United States,
10/12/2000,USS Cole Bombing,USS Cole Bombing,17,39,12.795508,45.022506,,,Yemen/United States,
12/22/2000,Attack on Red Fort,Attack on Red Fort,3,,28.656405,77.240944,,,India,
12/24/2000,Christmas Eve 2000 Indonesia bombings,Indonesia Bombings,18,,-6.179797,106.826479,,,Indonesia,
9/11/2001,"September 11, 2001hijackedal-QaedaWorld Trade CenterThe Pentagon",911,3000,,40.71277778,-74.01333333,,,United States,
10/1/2001,Jammu and Kashmir Legislative Assembly Attack,,41,,34.08294,74.809084,,,India,
12/13/2001,Suicide attack on Indian parliament,Indian Parliament Attack,7,12,28.617294,77.208157,,,India,
3/30/2002,Attack on the Raghunath temple,Raghunath Temple Attack 1,3,20,32.991478,74.95049,,,India,
10/12/2002,2002 Bali bombings Kuta,Bali Kuta Bombing,202,240,-8.717222222,115.1741667,,,Indonesia,
11/24/2001,Attack on the Raghunath temple,Raghunath Temple Attack 2,14,45,32.991478,74.95049,,,India,
1/22/2002,American Cultural Centre Attack in Kolkata,,5,20,22.59397,88.369274,,,India,
5/14/2002,Kaluchak massacre,Kaluchak massacre,31,47,32.658902,74.881549,,,India,
7/13/2002,Qasim Nagar massacre,Qasim Nagar massacre,29,,32.719972,74.899721,,,India,
