1983/4/18 , "April 1983 U.S. Embassy bombingBeirutLebanonIslamic Jihad Organization" , "" , 18 , 18
1983/12/12 , "1983 Kuwait bombings" , "" , ? , ?
1989/7/7 , "Tel Aviv Jerusalem bus 405 suicide attackKiryat Yearim" , "" , 7 , ?
1993/2/26 , "World Trade Center bombing" , "" , 26 , ?
1993/3/12 , "Serial blasts in Mumbai" , "" , ? , ?
1994/12/24 , "Air France Flight 8969AlgiersArmed Islamic Group of Algeria" , "" , 24 , ?
1996/6/25 , "Khobar Towers bombing" , "" , 25 , 25
1997/11/17 , "Luxor massacre" , "" , 17 , 17
1998/2/14 , "12 bomb attacks in 11 places, in the city of Coimbatore" , "" , 14 , 14
1998/8/7 , "1998 United States embassy bombings" , "" , 7 , 7
2000/10/12 , "USS Cole" , "" , 12 , 12
2000/12/22 , "Attack on Red Fort" , "" , ? , ?
2000/12/24 , "Christmas Eve 2000 Indonesia bombings" , "" , 24 , ?
2001/9/11 , "September 11, 2001hijackedal-QaedaWorld Trade CenterThe Pentagon" , "" , 11 , ?
2001/10/1 , "Attack on the Jammu and Kashmir legislative assembly" , "" , ? , ?
2001/12/13 , "Suicide attack on Indian parliament" , "" , 13 , 13
2002/3/30 , "Attack on the Raghunath temple" , "" , ? , ?
2002/10/12 , "2002 Bali bombingsKutaIndonesianBali" , "" , ? , ?
2001/11/24 , "Attack on the Raghunath temple" , "" , ? , ?
2002/1/22 , "Attack on an American cultural centre in Kolkata" , "" , ? , ?
2002/5/14 , "attacked a tourist bus" , "" , ? , ?
2002/7/13 , "Militants kill 29 Hindu labourers in Qasim Nagar" , "" , ? , ?
2002/9/24 , "Akshardham Temple attack" , "" , ? , ?
2002/12/2 , "Mumbai bus bombing" , "" , ? , ?
2003/3/13 , "A bomb placedMumbai Suburban Railway" , "" , ? , ?
2003/7/13 , "A bomb placed under a seat" , "" , ? , ?
2003/8/25 , "Twin car bombings killed" , "" , 25 , 25
2003/8/5 , "2003 Marriott Hotel bombingMega KuninganSouth JakartaIndonesiaJW Marriott Jakarta" , "" , ? , ?
2003/11/15–20 , "2003 Istanbul bombings" , "" , 15 , 15
2004/3/11 , "Madrid train bombings" , "" , 11 , 11
2004/9/1 , "Beslan school hostage crisis" , "" , 1 , ?
2004/9/9 , "2004 Australian Embassy bombing in JakartaIndonesiacar bombDaihatsuKuningan DistrictSouth Jakarta" , "" , ? , ?
2004/11/2 , "Theo van GoghMohammed Bouyeri" , "" , ? , ?
2005/7/5 , "Attack on the Hindu Ram templeAyodhya" , "" , 5 , ?
2005/7/7 , "bombings in London Underground" , "" , 7 , 7
2005/7/23 , "Bomb attacks at Sharm el-Sheikh" , "" , 23 , ?
2005/10/1 , "2005 Bali bombingsJimbaranKutaBaliIndonesia" , "" , ? , ?
2005/10/29 , "2005 Delhi bombings" , "" , 29 , 29
2005/11/9 , "2005 Amman bombingsAmman, Jordan" , "" , 9 , 9
2006/3/7 , "A series of bombings" , "" , ? , ?
2006/4/30 , "2006 Doda massacre" , "" , 30 , ?
2006/7/11 , "2006 Mumbai train bombings" , "" , 11 , 11
2007/2/1 , "2007 plot to behead a British Muslim soldier" , "" , ? , ?
2007/8/14 , "Qahtaniya bombings" , "" , 14 , 14
2007/8/25 , "Two bombs exploded" , "" , ? , ?
2007/11/23 , "Uttar Pradesh bombings" , "" , ? , ?
2007/5/13 , "Jaipur bombings" , "" , ? , ?
2008/7/26 , "2008 Ahmedabad bombings" , "" , 26 , 26
2008/9/13 , "Bombing series in DelhiIndia GateConnaught PlaceGreater Kailashanother attack" , "" , 13 , 13
2008/9/27 , "27 September 2008 Delhi blast" , "" , 27 , 27
2008/10/1 , "Agartala bombings" , "" , ? , ?
2008/11/26 , "series of coordinated attacksMumbaiLashkar-e-TaibaPakistanAjmal Kasab" , "" , 26 , ?
2009/6/1 , "2009 Little Rock recruiting office shooting" , "" , 1 , 1
2009/6/18 , "2009 Beledweyne bombingAl-Shabaab" , "" , 18 , ?
2009/7/17 , "2009 Marriott and Ritz-Carlton Hotels bombingMega KuninganSouth JakartaIndonesiaMarriott" , "" , 17 , 17
2009/11/5 , "Fort Hood shootingTexas" , "" , 5 , 5
2010/3/29 , "Moscow Metro bombingsCaucasus Emirate" , "" , 29 , 29
2010/5/1 , "2010 Times Square car bombing attemptNew York, New YorkFaisal ShahzadIslamicPakistani Americancar bombTimes SquarePakistani TalibanTehrik-i-Taliban Pakistan" , "" , ? , ?
2010/5/28 , "Attacks on Ahmadi Mosques LahoreTehrik-i-Taliban PakistanAhmadiyya Muslim Community" , "" , ? , ?
2010/12/7 , "2010 Varanasi bombing" , "" , 7 , 7
2010/12/10 , "2010 Stockholm bombing" , "" , ? , ?
2011/1/21 , "Domodedovo International Airport bombing" , "" , 21 , 21
2011/3/2 , "2011 Frankfurt Airport shootingFrankfurt" , "" , 2 , 2
2011/7/18 , "2011 Hotan attackHotan, China" , "" , 18 , 18
2011/7/30 , "A series of knife and bomb atacks occurred in Kashgar, China" , "" , 30 , 30
2011/12/25 , "Christmas Day bombingsMadallaJosGadakaDamaturu" , "" , 25 , ?
2012/1/5 , "5 January 2012 Iraq bombingsBaghdadNasiriyahIraqIslamic State of Iraq" , "" , 5 , 5
